Columbus Instruments Device Interface Version 1.5
Started On:,09/26/16 21:38:09

[Experiment Setup Info]
Program Path:,C:\Program Files\CI Multi-Device Interface
Data Path:,C:\Program Files\CI Multi-Device Interface\Data
Experiment File Name:,C:\Program Files\CI Multi-Device Interface\data\maddi9.26.16.csv
Session Interval:,01:00:00
Experiment Duration:,0
Staggered Start Enable:,False
[Channel Setup Info]
Cage 1,Cage1
Cage 2,
Cage 3,
[End Channel Setup Info]
[Experiment Comments]

[Experiment Comments End]
[Experiment Data]
Int,Cage,Time,Wheel (counts),Wheel Accum (counts),
0,1,09/26/16 21:38:13,0,0,
0,2,09/26/16 21:38:13,0,0,
0,3,09/26/16 21:38:13,0,0,
1,1,09/26/16 22:38:13,0,0,
1,2,09/26/16 22:38:13,0,0,
1,3,09/26/16 22:38:13,511,511,
2,1,09/26/16 23:38:13,0,0,
2,2,09/26/16 23:38:13,0,0,
2,3,09/26/16 23:38:13,1788,2299,
3,1,09/27/16 00:38:13,0,0,
3,2,09/27/16 00:38:13,0,0,
3,3,09/27/16 00:38:13,2239,4538,
4,1,09/27/16 01:38:13,0,0,
4,2,09/27/16 01:38:13,0,0,
4,3,09/27/16 01:38:13,2202,6740,
5,1,09/27/16 02:38:13,0,0,
5,2,09/27/16 02:38:13,0,0,
5,3,09/27/16 02:38:13,1769,8509,
6,1,09/27/16 03:38:13,0,0,
6,2,09/27/16 03:38:13,0,0,
6,3,09/27/16 03:38:13,1818,10327,
7,1,09/27/16 04:38:13,0,0,
7,2,09/27/16 04:38:13,22,22,
7,3,09/27/16 04:38:13,1614,11941,
8,1,09/27/16 05:38:13,0,0,
8,2,09/27/16 05:38:13,37,59,
8,3,09/27/16 05:38:13,1106,13047,
9,1,09/27/16 06:38:13,0,0,
9,2,09/27/16 06:38:13,3,62,
9,3,09/27/16 06:38:13,1243,14290,
10,1,09/27/16 07:38:13,0,0,
10,2,09/27/16 07:38:13,0,62,
10,3,09/27/16 07:38:13,840,15130,
11,1,09/27/16 08:38:13,0,0,
11,2,09/27/16 08:38:13,0,62,
11,3,09/27/16 08:38:13,429,15559,
12,1,09/27/16 09:38:13,0,0,
12,2,09/27/16 09:38:13,0,62,
12,3,09/27/16 09:38:13,388,15947,
13,1,09/27/16 10:38:13,0,0,
13,2,09/27/16 10:38:13,14,76,
13,3,09/27/16 10:38:13,0,15947,
14,1,09/27/16 11:38:13,0,0,
14,2,09/27/16 11:38:13,25,101,
14,3,09/27/16 11:38:13,93,16040,
15,1,09/27/16 12:38:13,0,0,
15,2,09/27/16 12:38:13,0,101,
15,3,09/27/16 12:38:13,0,16040,
16,1,09/27/16 13:38:13,0,0,
